archetype,Windows,Peak Cooling (W),Simulation Tool
pro-B-EW,NC-2g-HG-u1.82,4683.8,H2K
pro-B-EW,base-window,3502.4,H2K
pro-B-EW,NC-2g-MG-u1.65,3396.5,H2K
pro-B-EW,NC-3g-MG-u1.36,3359.2,H2K
pro-B-EW,NC-3g-LG-u1.14,2856.3,H2K
pro-B-EW,NC-3g-MG-u1.08,3323.1,H2K
pro-A-EW,NC-2g-HG-u1.82,6303.5,H2K
pro-A-EW,base-window,4445.4,H2K
pro-A-EW,NC-2g-MG-u1.65,4276.4,H2K
pro-A-EW,NC-3g-MG-u1.36,4220.5,H2K
pro-A-EW,NC-3g-LG-u1.14,3430.2,H2K
pro-A-EW,NC-3g-MG-u1.08,4166.5,H2K
pro-C-EW,NC-2g-HG-u1.82,8581.5,H2K
pro-C-EW,base-window,5775.6,H2K
pro-C-EW,NC-2g-MG-u1.65,5518.7,H2K
pro-C-EW,NC-3g-MG-u1.36,5434.3,H2K
pro-C-EW,NC-3g-LG-u1.14,4240.2,H2K
pro-C-EW,NC-3g-MG-u1.08,5352.8,H2K
pro-D-EW,NC-2g-HG-u1.82,10268.3,H2K
pro-D-EW,base-window,6760.4,H2K
pro-D-EW,NC-2g-MG-u1.65,6438.4,H2K
pro-D-EW,NC-3g-MG-u1.36,6332.9,H2K
pro-D-EW,NC-3g-LG-u1.14,4839.8,H2K
pro-D-EW,NC-3g-MG-u1.08,6231,H2K
pro-A-NS,NC-2g-HG-u1.82,4163.8,H2K
pro-A-NS,base-window,3239.6,H2K
pro-A-NS,NC-2g-MG-u1.65,3163.1,H2K
pro-A-NS,NC-3g-MG-u1.36,3107.5,H2K
pro-A-NS,NC-3g-LG-u1.14,2702.3,H2K
pro-A-NS,NC-3g-MG-u1.08,3053.7,H2K
pro-B-NS,NC-2g-HG-u1.82,3492.5,H2K
pro-B-NS,base-window,2831.7,H2K
pro-B-NS,NC-2g-MG-u1.65,2776.7,H2K
pro-B-NS,NC-3g-MG-u1.36,2739.5,H2K
pro-B-NS,NC-3g-LG-u1.14,2451,H2K
pro-B-NS,NC-3g-MG-u1.08,2703.6,H2K
pro-C-NS,NC-2g-HG-u1.82,5364.8,H2K
pro-C-NS,base-window,3962,H2K
pro-C-NS,NC-2g-MG-u1.65,3845.1,H2K
pro-C-NS,NC-3g-MG-u1.36,3761.1,H2K
pro-C-NS,NC-3g-LG-u1.14,3145.9,H2K
pro-C-NS,NC-3g-MG-u1.08,3679.9,H2K
pro-D-NS,NC-2g-HG-u1.82,6246.6,H2K
pro-D-NS,base-window,4492.5,H2K
pro-D-NS,NC-2g-MG-u1.65,4346,H2K
pro-D-NS,NC-3g-MG-u1.36,4240.9,H2K
pro-D-NS,NC-3g-LG-u1.14,3471.6,H2K
pro-D-NS,NC-3g-MG-u1.08,4139.5,H2K
ref-A,base-window,4899.8,H2K
ref-B,base-window,4899.8,H2K
ref-C,base-window,5152.3,H2K
ref-D,base-window,5802.2,H2K
pro-A-EW,base-window,3600,OS/E+
pro-A-EW,NC-2g-HG-u1.82,6000,OS/E+
pro-A-EW,NC-2g-MG-u1.65,3600,OS/E+
pro-A-EW,NC-3g-LG-u1.14,2700,OS/E+
pro-A-EW,NC-3g-MG-u1.08,3600,OS/E+
pro-A-EW,NC-3g-MG-u1.36,3600,OS/E+
pro-B-EW,base-window,3300,OS/E+
pro-B-EW,NC-2g-HG-u1.82,5400,OS/E+
pro-B-EW,NC-2g-MG-u1.65,3300,OS/E+
pro-B-EW,NC-3g-LG-u1.14,2500,OS/E+
pro-B-EW,NC-3g-MG-u1.08,3300,OS/E+
pro-B-EW,NC-3g-MG-u1.36,3300,OS/E+
pro-C-EW,base-window,5100,OS/E+
pro-C-EW,NC-2g-HG-u1.82,8700,OS/E+
pro-C-EW,NC-2g-MG-u1.65,5100,OS/E+
pro-C-EW,NC-3g-LG-u1.14,3700,OS/E+
pro-C-EW,NC-3g-MG-u1.08,5100,OS/E+
pro-C-EW,NC-3g-MG-u1.36,5200,OS/E+
pro-D-EW,base-window,6100,OS/E+
pro-D-EW,NC-2g-HG-u1.82,10600,OS/E+
pro-D-EW,NC-2g-MG-u1.65,6200,OS/E+
pro-D-EW,NC-3g-LG-u1.14,4400,OS/E+
pro-D-EW,NC-3g-MG-u1.08,6200,OS/E+
pro-D-EW,NC-3g-MG-u1.36,6200,OS/E+
pro-A-NS,base-window,1900,OS/E+
